company,title,location,experience,salary_lpa,match,portal,posted,url
Equal Experts,Senior Data Engineer,India,Senior title,,35,greenhouse,2026-02-12T03:38:29-05:00,https://job-boards.greenhouse.io/equalexperts/jobs/5823892002
Freshworks,Lead - Data Scientist,Bengaluru,Senior title,,35,smartrecruiters,2026-09-10T08:50:27.493000+00:00,https://jobs.smartrecruiters.com/freshworks/postings/744000148710569
Swiggy,Staff Data Scientist,Bengaluru,Senior title,,35,smartrecruiters,2026-09-06T14:06:12.581000+00:00,https://jobs.smartrecruiters.com/swiggy/postings/6000000001378397
MinIO,Field Architect ,Bengaluru / Remote,Senior title,,34,greenhouse,2026-09-10T18:10:18-04:00,https://job-boards.greenhouse.io/minio/jobs/5371697008
GitLab,"Senior Backend Engineer (Ruby on Rails), Plan: Planning Views",Bangalore,Senior title,,33,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8695815002
GitLab,Senior Software Engineer,Bangalore,Senior title,,33,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8721124002
AddStructure,Senior Data Engineer,Bengaluru,Senior title,,30,lever,2025-11-07T04:29:35.627000+00:00,https://jobs.lever.co/bazaarvoice/f031b69e-6ccd-4370-891b-2252a61e3800
GitLab,Senior Backend Engineer,Bangalore,Senior title,,30,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8736862002
GitLab,Staff Software Engineer,Bangalore,Senior title,,29,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8632446002
Equal Experts,Senior Backend Engineer,India,Senior title,,26,greenhouse,2026-08-06T01:41:56-04:00,https://job-boards.greenhouse.io/equalexperts/jobs/6679433002
GitLab,"Staff Backend Engineer, Gitlab Delivery: Upgrades",Bangalore,Senior title,,26,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8463922002
GitLab,"Staff Backend Engineer (Go), Events Platform",Bangalore,Senior title,,26,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8488961002
GitLab,Senior Backend Engineer - Platform Integrations (Monetization),Bangalore,Senior title,,23,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8615312002
GitLab,Staff Backend Engineer - Database Change Management,Bangalore,Senior title,,23,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8716271002
Flexera,Staff Software Engineer,Bangalore,Senior title,,20,workday,Posted 30+ Days Ago,https://flexerasoftware.wd1.myworkdayjobs.com/en-US/FlexeraSoftware/job/Bangalore/Staff-Software-Engineer_17170-1
Freshworks,Lead Software Engineer - Full Stack,Hyderabad,Senior title,,25,smartrecruiters,2026-07-13T10:49:36.313000+00:00,https://jobs.smartrecruiters.com/freshworks/postings/744000137424679
Mastercard,Software Engineer II,Pune,Years not stated,,20,workday,Posted Yesterday,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Software-Engineer-II_R-289234
Mastercard,Senior Software Engineer,Pune,Senior title,,20,workday,Posted Today,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Senior-Software-Engineer_R-288518
Mastercard,Senior Platform Engineer,Pune,Senior title,,20,workday,Posted Yesterday,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Senior-Platform-Engineer_R-289826
